🇨🇳󠁧󠁢󠁥󠁮潇洒央视,#genre#
测试频道,http://pluto-live.plutotv.net/egress/chandler/pluto01/live/VIACBS02/master_2400.m3u8
CCTV1-综合,http://cache.ott.fifalive.itv.cmvideo.cn:80/1000000001000021973/1.m3u8?Contentid=1000000001000021973&livemode=1&stbId=3&channel-id=ystenlive
CCTV1-综合,http://111.11.123.49:6610/000000001000/6378322924784308075/1.m3u8?Contentid=6378322924784308075&livemode=1&stbId=3&channel-id=bestzb
CCTV1-综合,http://111.40.196.9/PLTV/88888888/224/3221225755/index.m3u8
CCTV1-综合,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225660/1.m3u8
CCTV1-综合,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225783/1.m3u8
CCTV1-综合,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226239/1.m3u8
CCTV1-综合,http://117.148.129.9/PLTV/88888888/224/3221232791/index.m3u8
CCTV1-综合,http://111.20.33.93/TVOD/88888893/224/3221226231/index.m3u8
CCTV-1综合,http://111.20.33.93/PLTV/88888893/224/3221226010/index.m3u8
CCTV-1综合,http://111.20.33.93/TVOD/88888893/224/3221226231/index.m3u8
CCTV-1综合,http://111.40.196.25/PLTV/88888888/224/3221225548/index.m3u8
CCTV-1综合,http://183.207.249.15/PLTV/3/224/3221225530/index.m3u8
CCTV-1综合,http://183.207.249.9/PLTV/3/224/3221225530/index.m3u8
CCTV-1综合,http://39.134.65.141/PLTV/88888888/224/3221225816/1.m3u8
CCTV-1综合,http://39.134.66.110/PLTV/88888888/224/3221225816/index.m3u8
CCTV-1综合,http://39.134.67.226/PLTV/88888888/224/3221225816/index.m3u8
CCTV-1综合,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/cctv1hd/2300000/mnf.m3u8
CCTV-1综合,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/cctv1hd/4000000/mnf.m3u8
CCTV1-综合,http://111.11.123.49:6610/000000001000/5510876839019192947/1.m3u8?Contentid=5510876839019192947&livemode=1&stbId=3&channel-id=hnbblive
CCTV1-综合,http://111.11.123.49:6610/000000001000/9198071806334826260/1.m3u8?Contentid=9198071806334826260&livemode=1&stbId=3&channel-id=hnbblive
CCTV1-综合,http://39.134.115.191:8080/ysten.jx.chinamobile.com/PLTV/88888888/224/3221225573/2/index.m3u8?fmt=ts2hls
CCTV1-综合,http://huaiyin-tv-hls.cm.jstv.com/huaiyin-tv/hyys.m3u8
CCTV1-综合,http://111.20.35.103:6610/yinhe/2/ch00000090990000001018/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CCTV1-综合,http://111.20.33.93/PLTV/88888893/224/3221226239/index.m3u8
CCTV1-综合,http://111.20.35.103:6610/yinhe/2/ch00000090990000001326/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CCTV1-综合,http://39.134.66.4/PLTV/88888888/224/3221225816/index.m3u8
CCTV1-综合,http://39.134.115.163:8080/PLTV/88888910/224/3221225618/index.m3u8
CCTV1-综合,http://39.134.115.163:8080/PLTV/88888910/224/3221225642/index.m3u8
CCTV1-综合,http://39.135.138.59:18890/PLTV/88888910/224/3221225642/index.m3u8
CCTV1-综合,http://117.148.179.155/PLTV/88888888/224/3221231468/index.m3u8
CCTV1-综合,http://117.148.179.155/PLTV/88888888/224/3221231471/index.m3u8
CCTV1-综合,http://39.134.67.226/PLTV/88888888/224/3221225816/index.m3u8
CCTV1-综合,http://111.40.196.9/PLTV/88888888/224/3221225548/index.m3u8
CCTV1-综合,http://111.40.196.9/PLTV/88888888/224/3221225769/index.m3u8
CCTV1-综合,http://39.135.138.59:18890/PLTV/88888910/224/3221225642/index.m3u8$江西宜春8M
CCTV1-综合,http://39.134.115.163:8080/PLTV/88888910/224/3221225762/index.m3u8
CCTV1-综合,http://39.134.115.163:8080/PLTV/88888910/224/3221225918/index.m3u8
CCTV1-综合,http://39.135.138.58:18890/PLTV/88888888/224/3221225642/index.m3u8
CCTV1-综合,http://39.135.138.59:18890/TVOD/88888910/224/3221225630/index.m3u8
CCTV1-综合,http://39.135.138.60:18890/PLTV/88888910/224/3221225618/index.m3u8
CCTV1-综合,http://111.59.189.40:8445/tsfile/live/1000_1.m3u8
CCTV1-综合,http://39.135.138.60:18890/PLTV/88888910/224/3221225762/index.m3u8
CCTV1-综合,http://migu.jilu8.cn/3221231468/index.m3u8
CCTV1-综合,http://migu.jilu8.cn/3221232791/index.m3u8
CCTV1-综合,http://migu.jilu8.cn/3221231471/index.m3u8
CCTV1-综合,http://39.134.66.110/PLTV/88888888/224/3221225816/index.m3u8
CCTV1-综合,http://39.134.65.175/PLTV/88888888/224/3221225816/1.m3u8
CCTV1-综合,http://39.135.138.58:18890/PLTV/88888888/224/3221225630/index.m3u8
CCTV1-综合,http://39.135.138.59:18890/PLTV/88888910/224/3221225630/index.m3u8
CCTV1-综合,http://39.135.138.59:18890/PLTV/88888910/224/3221225762/index.m3u8
CCTV1-综合,http://39.135.138.59:18890/PLTV/88888910/224/3221225918/index.m3u8
CCTV1-综合,http://39.135.138.59:18890/PLTV/88888910/224/3221226225/index.m3u8
CCTV1-综合,http://39.135.138.59:18890/PLTV/88888910/224/3221226221/index.m3u8
CCTV1-综合,http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225618/index.m3u8
CCTV1-综合,http://111.40.196.9/PLTV/88888888/224/3221225513/index.m3u8
CCTV1-综合,http://111.20.33.93/TVOD/88888893/224/3221226231/index.m3u8
CCTV1-综合,http://111.20.33.93/TVOD/88888893/224/3221226239/index.m3u8
CCTV2-财经,http://39.134.63.11:6610/PLTV/88888888/224/3221225588/index.m3u8?i
CCTV2-财经,http://39.134.193.100:6610/030000001001/CCTV2-/1.m3u8?i
CCTV2-财经,http://111.11.123.49:6610/000000001000/6712427732700951500/1.m3u8?Contentid=6712427732700951500&livemode=1&stbId=3&channel-id=bestzb
CCTV2-财经,http://111.11.123.49:6610/000000001000/7501364488890008391/1.m3u8?Contentid=7501364488890008391&livemode=1&stbId=3&channel-id=hnbblive
CCTV2-财经,http://111.11.123.49:6610/000000001000/5000000005000031113/1.m3u8?Contentid=5000000005000031113&livemode=1&stbId=3&channel-id=bestzb
CCTV2-财经,http://111.20.33.93/TVOD/88888893/224/3221226224/index.m3u8
CCTV2-财经,http://39.134.115.191:8080/ysten.jx.chinamobile.com/PLTV/88888888/224/3221225572/2/index.m3u8?fmt=ts2hls
CCTV2-财经,http://111.40.196.9/PLTV/88888888/224/3221225553/index.m3u8
CCTV2-财经,http://39.134.65.149/PLTV/88888888/224/3221225599/1.m3u8
CCTV2-财经,http://39.134.65.143/PLTV/88888888/224/3221225599/1.m3u8
CCTV2-财经,http://39.134.65.132/PLTV/88888888/224/3221225599/1.m3u8
CCTV2-财经,http://111.11.123.49:6610/000000001000/5353323539453949720/1.m3u8?Contentid=5353323539453949720&livemode=1&stbId=3&channel-id=ystenlive
CCTV2-财经,http://39.134.65.151/PLTV/88888888/224/3221225599/1.m3u8
CCTV2-财经,http://111.40.196.9/PLTV/88888888/224/3221225488/index.m3u8
CCTV2-财经,http://39.134.65.145/PLTV/88888888/224/3221225599/1.m3u8
CCTV2-财经,http://39.134.65.147/PLTV/88888888/224/3221225599/1.m3u8
CCTV2-财经,http://39.134.65.130/PLTV/88888888/224/3221225599/1.m3u8
CCTV2-财经,http://111.20.35.103:6610/yinhe/2/ch00000090990000001021/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CCTV2-财经,http://111.20.35.103:6610/yinhe/2/ch00000090990000001840/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CCTV2-财经,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225762/1.m3u8
CCTV2-财经,http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8
CCTV2-财经,http://117.148.179.156/PLTV/88888888/224/3221232362/index.m3u8
CCTV2-财经,http://117.148.179.147/PLTV/88888888/224/3221231678/index.m3u8
CCTV2-财经,http://39.134.115.163:8080/PLTV/88888910/224/3221225643/index.m3u8
CCTV2-财经,http://39.135.138.59:18890/PLTV/88888910/224/3221225643/index.m3u8
CCTV2-财经,http://stream-shbu.bestvcdn.com:8080/live/program/live/cctv2/1300000/mnf.m3u8
CCTV2-财经,http://39.135.32.236:6610/PLTV/77777777/224/3221225676/index.m3u8?$广西移动
CCTV2-财经,http://39.135.138.59:18890/PLTV/88888910/224/3221225643/index.m3u8$江西宜春8M
CCTV2-财经,http://117.148.179.147:80/PLTV/88888888/224/3221231678/1.m3u8
CCTV2-财经,http://111.63.117.13:6060/030000001000/G_CCTV2-/G_CCTV2-.m3u8
CCTV2-财经,http://39.135.138.60:18890/PLTV/88888910/224/3221225619/index.m3u8
CCTV2-财经,http://111.59.189.40:8445/tsfile/live/1001_1.m3u8
CCTV2-财经,http://39.135.138.60:18890/PLTV/88888910/224/3221225643/index.m3u8
CCTV2-财经,http://migu.jilu8.cn/3221232362/index.m3u8
CCTV2-财经,http://migu.jilu8.cn/3221232777/index.m3u8
CCTV2-财经,http://migu.jilu8.cn/3221231678/index.m3u8
CCTV2-财经,http://39.135.138.58:18890/PLTV/88888888/224/3221225643/index.m3u8?$移动蓝光1080P 
CCTV2-财经,http://111.20.33.93/TVOD/88888893/224/3221226224/index.m3u8
CCTV2-财经,http://117.148.179.147/PLTV/88888888/224/3221231678/index.m3u8?zzhongd
CCTV3-综艺,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226398/1.m3u8
CCTV3-综艺,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225782/1.m3u8
CCTV3-综艺,http://newvideo.dangtutv.cn:8278/CCTVzongyi/playlist.m3u8
CCTV3-综艺,http://140.207.241.3:8080/live/program/live/cctv3/1300000/d1.m3u8
CCTV3-综艺,http://123.6.9.146/live/jz-CCTV3-/live.m3u8
CCTV3-综艺,http://111.11.123.49:6610/000000001000/4871512150101568971/1.m3u8?Contentid=4871512150101568971&livemode=1&stbId=3&channel-id=bestzb
CCTV3-综艺,http://111.20.33.93/PLTV/88888893/224/3221226398/index.m3u8
CCTV3-综艺,http://111.20.35.103:6610/yinhe/2/ch00000090990000001009/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CCTV3-综艺,http://111.20.35.103:6610/yinhe/2/ch00000090990000001839/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CCTV3-综艺,http://39.134.115.163:8080/PLTV/88888910/224/3221225647/index.m3u8
CCTV3-综艺,http://39.134.115.163:8080/PLTV/88888910/224/3221225634/index.m3u8
CCTV3-综艺,http://111.40.196.29/PLTV/88888888/224/3221225588/index.m3u8
CCTV3-综艺,http://39.135.138.59:18890/PLTV/88888910/224/3221225634/index.m3u8
CCTV3-综艺,http://111.63.117.13:6060/030000001000/CCTV3-/CCTV3-.m3u8
CCTV3-综艺,http://shbu4k.live.bestvcdn.com:8080/live/program/live/cctv3hd/4000000/mnf.m3u8
CCTV3-综艺,http://111.40.196.9/PLTV/88888888/224/3221225588/index.m3u8
CCTV3-综艺,http://39.135.32.236:6610/PLTV/77777777/224/3221225677/index.m3u8?$广西移动
CCTV3-综艺,http://39.135.138.59:18890/PLTV/88888910/224/3221225634/index.m3u8$江西宜春8M
CCTV3-综艺,http://39.135.138.59:18890/TVOD/88888910/224/3221225647/index.m3u8
CCTV3-综艺,http://39.135.138.60:18890/PLTV/88888910/224/3221225647/index.m3u8
CCTV3-综艺,http://112.74.200.9:88/tv000000/m3u8.php?/migu/624878271
CCTV3-综艺,http://39.135.138.58:18890/PLTV/88888910/224/3221225647/index.m3u8
CCTV3-综艺,http://39.135.138.60:18890/PLTV/88888910/224/3221225634/index.m3u8
CCTV3-综艺,http://140.207.241.2:8080/live/program/live/cctv3hd/2300000/mnf.m3u8
CCTV3-综艺,http://39.135.138.58:18890/PLTV/88888888/224/3221225634/index.m3u8
CCTV3-综艺,http://39.134.65.175/PLTV/88888888/224/3221225799/index.m3u8?$移动蓝光1080P
CCTV3-综艺,http://39.135.138.59:18890/PLTV/88888910/224/3221225647/index.m3u8
CCTV3-综艺,http://111.20.33.93/TVOD/88888893/224/3221226397/index.m3u8
CCTV4-中文国际,http://39.134.63.11:6610/PLTV/88888888/224/3221226007/index.m3u8?i
CCTV4-中文国际,http://39.134.193.100:6610/030000001001/CCTV4-/1.m3u8?i
CCTV4-中文国际,http://111.20.33.93/TVOD/88888893/224/3221226223/index.m3u8
CCTV4-中文国际,http://111.11.123.49:6610/000000001000/6529283685694841127/1.m3u8?Contentid=6529283685694841127&livemode=1&stbId=3&channel-id=bestzb
CCTV4-中文国际,http://111.11.123.49:6610/000000001000/4719673858948437836/1.m3u8?Contentid=4719673858948437836&livemode=1&stbId=3&channel-id=wasusyt
CCTV4-中文国际,http://111.11.123.49:6610/000000001000/8830950643842119430/1.m3u8?Contentid=8830950643842119430&livemode=1&stbId=3&channel-id=hnbblive
CCTV4-中文国际,http://39.134.115.191:8080/ysten.jx.chinamobile.com/PLTV/88888888/224/3221225571/2/index.m3u8?fmt=ts2hls
CCTV4-中文国际,http://39.134.65.149/PLTV/88888888/224/3221225797/1.m3u8
CCTV4-中文国际,http://39.134.65.151/PLTV/88888888/224/3221225797/1.m3u8
CCTV4-中文国际,http://111.11.123.49:6610/000000001000/8183388942203045169/1.m3u8?Contentid=8183388942203045169&livemode=1&stbId=3&channel-id=ystenlive
CCTV4-中文国际,http://39.134.65.145/PLTV/88888888/224/3221225797/1.m3u8
CCTV4-中文国际,http://39.134.65.143/PLTV/88888888/224/3221225797/1.m3u8
CCTV4-中文国际,http://111.40.196.9/PLTV/88888888/224/3221225490/index.m3u8
CCTV4-中文国际,http://39.134.65.147/PLTV/88888888/224/3221225797/1.m3u8
CCTV4-中文国际,http://39.134.65.141/PLTV/88888888/224/3221225797/1.m3u8
CCTV4-中文国际,http://111.20.35.103:6610/yinhe/2/ch00000090990000001015/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CCTV4-中文国际,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225781/1.m3u8
CCTV4-中文国际,http://140.207.241.3:8080/live/program/live/cctv4/1300000/d1.m3u8
CCTV4-中文国际,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV4-中文国际,http://117.148.179.163/PLTV/88888888/224/3221231726/index.m3u8
CCTV4-中文国际,http://39.135.138.58:18890/PLTV/88888888/224/3221225621/index.m3u8
CCTV4-中文国际,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225621/index.m3u8
CCTV4-中文国际,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/cctv4/1300000/mnf.m3u8
CCTV4-中文国际,http://shbu4k.live.bestvcdn.com:8080/live/program/live/cctv4/1300000/mnf.m3u8
CCTV4-中文国际,http://39.135.32.236:6610/PLTV/77777777/224/3221225753/index.m3u8?$广西移动
CCTV4-中文国际,http://39.135.138.59:18890/PLTV/88888910/224/3221225621/index.m3u8$江西宜春8M
CCTV4-中文国际,http://111.59.189.40:8445/tsfile/live/1003_1.m3u8
CCTV4-中文国际,http://39.135.138.60:18890/PLTV/88888910/224/3221225621/index.m3u8
CCTV4-中文国际,http://migu.jilu8.cn/3221231726/index.m3u8
CCTV4-中文国际,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8$4M1080P
CCTV4-中文国际,http://111.11.123.49:6610/000000001000/5000000005000030093/1.m3u8?Contentid=5000000005000030093&livemode=1&stbId=3&channel-id=bestzb
CCTV4-中文国际,http://39.135.138.58:18890/PLTV/88888888/224/3221225621/index.m3u8?$移动蓝光1080P
CCTV4-中文国际,http://39.135.138.59:18890/PLTV/88888910/224/3221225621/index.m3u8
CCTV4-中文国际,http://111.20.33.93/TVOD/88888893/224/3221226223/index.m3u8
